"Name";"ID"
"Professor de matemática";237
"Professor de orientação educacional ensino superior";238
"Professor de pedagogia";239
"Professor de português e literatura";240
"Professor de pratica de ensino ensino superior";241
"Professor de psicologia";242
"Professor de química";243
"Professor de sociologia";244
"Professor de tecnologia";245
"Professores";246
"Professores de biologia";247
"Professores de ciências humanas";248
"Professores de ensino de 2o grau";249
"Professores de ensino de primeiro grau";250
"Professores de ensino especial";251
"Professores de ensino pre escolar";252
"Professores de ensino superior";253
"Professores de pedagogia";254
"Professor de geografia";255
"Programador de computador";256
"Propagandista de produtos de laboratório";257
"Psicólogo";258
"Químico";259
"Químico analista";260
"Químico industrial";261
"Recepcionista";262
"Redator";263
"Relações publicas";264
"Repórter";265
"Representante comercial";266
"Secretário";267
"Secretário bilingue";268
"Secretário executivo";269
"Serventuários da justiça";270
"Sociólogo";271
"Supervisor de compras";272
"Supervisor de vendas comércio atacadista";273
"Supervisor de vendas comércio varejista";274
"Supervisor educacional";275
"Supervisores de compras e compradores";276
"Supervisores de vendas";277
"Técnico";278
"Técnico agrícola";279
"Técnico agropecuário";280
"Técnico de administração";281
"Técnico de contabilidade";282
"Técnico de enfermagem";283
"Técnico de laboratório";284
"Técnico de manutenção elétrica";285
"Técnico de manutenção eletrônica";286
"Técnico de obras civis";287
"Técnico de planejamento de produção";288
"Técnico de segurança do trabalho";289
"Técnico de seguros";290
"Técnico de telecomunicações";291
"Técnico eletrônico";292
"Técnico mecânico";293
"Técnico mecânico maquinas";294
"Técnico metalúrgico";295
"Técnico químico";296
"Técnicos de biologia";297
"Técnicos de eletricidade";298
"Técnicos de enfermagem";299
"Técnicos de obras civis";300
"Terapeuta ocupacional";301
"Topógrafo";302
"Trabalhadores das profissões cientificas";303
"Trabalhadores de comércio";304
"Trabalhadores de serviços administrativos";305
"Trabalhadores de serviços de contabilidade";306
"Trabalhadores de serviços de turismo";307
"Vendedor a domicilio";308
"Vendedor ambulante";309
"Vendedor de comércio atacadista";310
"Vendedor de comércio varejista";311
"Vendedor pracista";312
"Vendedores de comércio atacadista e varejista";313
"Vendedores pracistas";314
"Vereador";315
"Zootecnista";316
